@relation SISPPAFUT
@attribute qEquiposLiga real
@attribute mes real
@attribute Local_PosLiga real
@attribute Local_Pts real
@attribute Local {True, False}
@attribute Local_PosRankMund real
@attribute Local_qExpulsados real
@attribute Local_qSuspendidos real
@attribute Local_GolesAnotados real
@attribute Local_GolesEncajados real
@attribute Local_PromEdad real
@attribute Local_qPartidosMes real
@attribute Visita_PosLiga real
@attribute Visita_Pts real
@attribute Visita {True, False}
@attribute Visita_PosRankMund real
@attribute Visita_qExpulsados real
@attribute Visita_qSuspendidos real
@attribute Visita_GolesAnotados real
@attribute Visita_GolesEncajados real
@attribute Visita_PromEdad real
@attribute Visita_qPartidosMes real
@attribute resultado {L, E, V}
@data
1,0.7273,0.1053,0.0667,True,0.2443,1,1,0,0.2143,0.8633,0.6,0.5789,0.2667,False,0.1234,1,1,0.1667,0.2667,0.3017,0.6,L
1,0.7273,0.8947,0.4667,True,0.9547,1,1,0.1154,0.0714,0.135,0.6,0.6842,0.4,False,0.1637,1,1,0.1667,0.3333,0,0.6,L
1,0.7273,0.7368,0.4,True,0.9975,1,1,0.1923,0.2143,0.3633,0.6,0.4211,0.2667,False,0.1234,1,1,0.1667,0.4,0.3933,0.6,L
1,0.7273,0.0526,0.0667,True,0.1234,1,1,0.1154,0.5,0.3633,0.6,0.3684,0.2,False,0.1234,1,1,0.125,0.2,0.8183,0.6,E
1,0.7273,0.1579,0.1333,True,0.1234,1,1,0.0769,0.2143,0.2867,0.6,0,0,False,0.1234,1,1,0.125,0.6667,0.575,0.6,V
1,0.7273,1,0.6,True,0.9673,0.5,1,0.2308,0.1429,0.7417,0.6,0.8421,0.4,False,0.9849,0.5,1,0.2917,0.2,0.3783,0.6,E
1,0.7273,0.6316,0.2667,True,0.8212,0.5,1,0.2692,0.4286,0.2567,0.6,0.2632,0.2,False,0.1234,1,1,0.2917,0.5333,0.4383,0.6,V
1,0.7273,0.7895,0.4,True,0.8741,1,1,0.2308,0.1429,0.5,0.6,0.3158,0.2,False,0.2065,1,1,0.0833,0.1333,0.3333,0.6,L
1,0.7273,0.9474,0.4667,True,0.9421,1,1,0.2308,0.1429,0.62,0.6,0.2105,0.2,False,0.4207,1,1,0.0833,0.2667,0.3483,0.6,E
1,0.7273,0.2632,0.2667,True,0.1234,1,1,0.1538,0.5,0.3933,0.8,0.9474,0.6667,False,0.9673,1,1,0.2917,0.2,0.7417,0.8,V
1,0.7273,0.1053,0.2,True,0.1234,1,1,0.1538,0.7143,0.575,0.8,1,0.6667,False,0.9547,0.5,1,0.25,0.0667,0.135,0.8,E
1,0.7273,0.6842,0.4667,True,0.6599,1,1,0.2692,0.2857,0.105,0.8,0.8421,0.6,False,0.9975,1,1,0.25,0.2,0.3633,0.8,V
1,0.7273,0.3158,0.2667,True,0.4207,1,1,0.1154,0.3571,0.3483,0.8,0.4737,0.2667,False,0.8212,1,1,0.2917,0.5333,0.2567,0.8,V
1,0.7273,0.1579,0.2,True,0.2065,1,1,0.0769,0.2143,0.3333,0.8,0.0526,0.1333,False,0.1234,1,1,0.0833,0.2667,0.2867,0.8,V
1,0.7273,0.5789,0.4,True,0.1637,0,1,0.1538,0.5714,0,0.8,0.4211,0.2667,False,0.2443,1,1,0.125,0.2667,0.8633,0.8,L
1,0.7273,0.2105,0.2667,True,0.5340,1,1,0.0769,0.3571,0.4533,0.8,0.3684,0.2667,False,0.1234,1,1,0.2083,0.4667,0.3017,0.8,L
1,0.7273,0.5263,0.2667,True,0.1234,1,1,0.1154,0.2143,0.8183,0.8,0.7895,0.5333,False,0.9421,1,1,0.2917,0.2,0.62,0.8,L
1,0.7273,0.7368,0.4667,True,0.9849,1,1,0.3077,0.2857,0.3783,0.8,0,0.1333,False,0.1234,1,1,0.125,0.4667,0.3633,0.8,L
1,0.7273,0.6316,0.4,True,0.1234,0.5,1,0.3462,0.5714,0.4383,0.8,0.8947,0.6,False,0.8741,1,1,0.2917,0.1333,0.5,0.8,V
1,0.8182,0,0.1333,True,0.1259,1,1,0.1154,0.5714,0.3633,0.8,0.1579,0.2667,False,0.1259,1,1,0.1667,0.6,0.3933,0.8,E
1,0.8182,0.2105,0.2667,True,0.1259,1,1,0.1923,0.6429,0.3017,0.8,0.7368,0.6,False,0.1511,1,1,0.2083,0.5333,0,0.8,L
1,0.8182,1,0.8667,True,0.9421,1,1,0.3462,0.2143,0.7417,0.8,0.5789,0.4667,False,0.6020,0.5,1,0.3333,0.4667,0.105,0.8,L
1,0.8182,0.6842,0.5333,True,0.9395,1,1,0.2692,0.3571,0.62,0.8,0.7895,0.6667,False,0.9874,0.5,1,0.375,0.2667,0.3783,0.8,L
1,0.8182,0.5263,0.4667,True,0.8035,1,1,0.3077,0.5714,0.2567,0.8,0.6316,0.4667,False,0.1259,1,1,0.2083,0.2,0.8183,0.8,L
1,0.8182,0.9474,0.8,True,0.9194,1,1,0.3846,0.2857,0.5,0.8,0.2632,0.2667,False,0.4484,0.5,1,0.125,0.4,0.3483,0.8,L
1,0.8182,0.3684,0.3333,True,0.1259,1,1,0.1538,0.2857,0.2867,0.8,0.4211,0.4,False,0.1259,0.5,1,0.4583,0.7333,0.4383,0.8,E
1,0.8182,0.3158,0.2667,True,0.2645,1,1,0.1154,0.3571,0.8633,0.8,0.1053,0.2667,False,0.1259,1,1,0.1667,0.6667,0.575,0.8,E
1,0.8182,0.8947,0.8,True,0.9975,0.5,1,0.3462,0.2857,0.3633,0.8,0.4737,0.4667,False,0.5113,1,1,0.1667,0.3333,0.4533,0.8,E
1,0.8182,0.9474,0.7333,True,0.9824,1,1,0.2308,0.0714,0.135,0.8,0.3158,0.2,False,0.2217,0.5,1,0.0833,0.3333,0.3333,0.8,L
1,0.8182,0.8421,0.6667,True,0.9975,1,1,0.2692,0.3571,0.3633,0.8,1,0.8667,False,0.9421,1,1,0.3333,0.2,0.7417,0.8,L
1,0.8182,0.4737,0.2667,True,0.6020,1,1,0.3077,0.6429,0.105,0.8,0.0526,0.1333,False,0.1259,0.5,1,0.2083,0.6667,0.3633,0.8,L
1,0.8182,0.2105,0.3333,True,0.1259,1,0.8,0.2308,0.5,0.3933,0.8,0.7895,0.5333,False,0.9395,1,1,0.25,0.3333,0.62,0.8,L
1,0.8182,0.6842,0.4667,True,0.9874,1,1,0.2308,0.5,0.3783,0.8,0.7368,0.6667,False,0.8035,1,1,0.4167,0.3333,0.2567,0.8,L
1,0.8182,0.4211,0.4667,True,0.1259,0.5,1,0.1923,0.3571,0.8183,0.8,0.9474,1,False,0.9194,1,1,0.5,0.2,0.5,0.8,E
1,0.8182,0.1053,0.2667,True,0.4484,1,1,0.1154,0.3571,0.3483,0.8,0.3158,0.3333,False,0.1259,1,1,0.2083,0.3333,0.2867,0.8,L
1,0.8182,0.5263,0.4667,True,0.1259,1,1,0.4231,0.6429,0.4383,0.8,0.8947,0.8667,False,0.9824,1,1,0.5,0.1333,0.135,0.8,V
1,0.8182,0,0.1333,True,0.2217,1,1,0.1154,0.7857,0.3333,0.8,0.2632,0.2667,False,0.2645,1,0.8,0.1667,0.4,0.8633,0.8,E
1,0.8182,0.1579,0.3333,True,0.1259,1,1,0.1538,0.5,0.575,0.8,0.3684,0.2667,False,0.1259,1,1,0.2083,0.6,0.3017,0.8,L
1,0.8182,0.5789,0.4667,True,0.5113,1,1,0.1923,0.4286,0.4533,0.8,0.6316,0.4,False,0.1511,1,1,0.0833,0.5333,0,0.8,V
1,0.8182,0.8421,0.6667,True,0.9421,1,1,0.3077,0.3571,0.7417,0.6,0.1579,0.4667,False,0.5113,1,1,0.2083,0.3333,0.4533,0.6,V
1,0.8182,0,0.1333,True,0.1259,0.5,1,0.1154,0.5,0.3633,0.6,0.8947,0.8667,False,0.9975,1,1,0.375,0.2667,0.3633,0.6,V
1,0.8182,0.6842,0.4667,True,0.9395,1,1,0.2308,0.5,0.62,0.6,0.6316,0.4667,False,0.6020,1,1,0.375,0.5333,0.105,0.6,L
1,0.8182,0.5789,0.4667,True,0.8035,1,1,0.2308,0.4286,0.2567,0.6,0.4211,0.3333,False,0.1259,1,0.8,0.25,0.4667,0.3933,0.6,L
1,0.8182,0.9474,0.8667,True,0.9194,0,1,0.3846,0.3571,0.5,0.6,0.7895,0.4667,False,0.9874,1,1,0.25,0.4,0.3783,0.6,L
1,0.8182,0.1579,0.2667,True,0.1259,1,1,0.1154,0.2857,0.2867,0.6,0.5263,0.3333,False,0.1259,0.5,1,0.2083,0.4667,0.8183,0.6,E
1,0.8182,1,0.8667,True,0.9824,1,1,0.5769,0.2143,0.135,0.6,0.2105,0.4667,False,0.4484,1,1,0.1667,0.2667,0.3483,0.8,L
1,0.8182,0.1053,0.3333,True,0.2645,0.5,0.8,0.1538,0.3571,0.8633,0.6,0.3158,0.2667,False,0.1259,1,0.8,0.2917,0.6667,0.4383,0.6,L
1,0.8182,0.2632,0.2,True,0.1259,1,1,0.1538,0.6429,0.3017,0.6,0.0526,0.1333,False,0.2217,1,0.8,0.125,0.7333,0.3333,0.6,L
